quarter,month,ADM1_NAME,ADM1_CODE,inadequate
2024Q1,1,Yobe,2240,0.6538461538461539
2024Q1,1,Zamfara,65710,0.8364779874213837
2024Q1,2,Abia,65698,0.47191011235955055
2024Q1,2,Abuja,2221,0.3390804597701149
2024Q1,2,Adamawa,2211,0.5257731958762887
2024Q1,2,Akwa Ibom,2212,0.42045454545454547
2024Q1,2,Bauchi,65699,0.7647058823529411
2024Q1,2,Benue,2215,0.6091954022988506
2024Q1,2,Borno,2216,0.6984732824427481
2024Q1,2,Cross River,2217,0.45454545454545453
2024Q1,2,Edo,2219,0.38461538461538464
2024Q1,2,Enugu,65703,0.38636363636363635
2024Q1,2,Gombe,65704,0.7840909090909091
2024Q1,2,Jigawa,2223,0.8409090909090909
2024Q1,2,Kaduna,2224,0.6555555555555556
2024Q1,2,Kano,2225,0.7885714285714286
2024Q1,2,Katsina,2226,0.7777777777777778
2024Q1,2,Kebbi,2227,0.6777777777777778
2024Q1,2,Kogi,2228,0.4444444444444444
2024Q1,2,Kwara,2229,0.4835164835164835
2024Q1,2,Lagos,2230,0.26857142857142857
2024Q1,2,Nassarawa,65705,0.6477272727272727
2024Q1,2,Niger,2231,0.6704545454545454
2024Q1,2,Ogun,2232,0.4235294117647059
2024Q1,2,Plateau,65707,0.5909090909090909
2024Q1,2,Rivers,65708,0.4069767441860465
2024Q1,2,Sokoto,65709,0.8068181818181818
2024Q1,2,Taraba,2239,0.7209302325581395
2024Q1,2,Yobe,2240,0.6545454545454545
2024Q1,2,Zamfara,65710,0.797752808988764
2024Q2,4,Abia,65698,0.4621212121212121
2024Q2,4,Abuja,2221,0.32679738562091504
2024Q2,4,Adamawa,2211,0.6194690265486725
2024Q2,4,Akwa Ibom,2212,0.3939393939393939
2024Q2,4,Bauchi,65699,0.8014705882352942
2024Q2,4,Benue,2215,0.5693430656934306
2024Q2,4,Borno,2216,0.6514806378132119
2024Q2,4,Cross River,2217,0.38235294117647056
2024Q2,4,Edo,2219,0.39552238805970147
2024Q2,4,Enugu,65703,0.47368421052631576
2024Q2,4,Gombe,65704,0.8181818181818182
2024Q2,4,Jigawa,2223,0.7633587786259542
2024Q2,4,Kaduna,2224,0.6893939393939394
2024Q2,4,Kano,2225,0.7435897435897436
2024Q2,4,Katsina,2226,0.823076923076923
2024Q2,4,Kebbi,2227,0.8015267175572519
2024Q2,4,Kogi,2228,0.4732824427480916
2024Q2,4,Kwara,2229,0.3880597014925373
2024Q2,4,Lagos,2230,0.24050632911392406
2024Q2,4,Nassarawa,65705,0.5833333333333334
2024Q2,4,Niger,2231,0.6917293233082706
2024Q2,4,Ogun,2232,0.42424242424242425
2024Q2,4,Plateau,65707,0.5303030303030303
2024Q2,4,Rivers,65708,0.3880597014925373
2024Q2,4,Sokoto,65709,0.8384615384615385
2024Q2,4,Taraba,2239,0.7045454545454546
2024Q2,4,Yobe,2240,0.6879795396419437
2024Q2,4,Zamfara,65710,0.8384615384615385
2024Q2,5,Abia,65698,0.46710526315789475
2024Q2,5,Abuja,2221,0.29533678756476683
2024Q2,5,Adamawa,2211,0.5112219451371571
2024Q2,5,Akwa Ibom,2212,0.3630573248407643
2024Q2,5,Bauchi,65699,0.743421052631579
2024Q2,5,Benue,2215,0.44805194805194803
2024Q2,5,Borno,2216,0.6465028355387523
2024Q2,5,Cross River,2217,0.39473684210526316
2024Q2,5,Edo,2219,0.391025641025641
2024Q2,5,Enugu,65703,0.42483660130718953
2024Q2,5,Gombe,65704,0.8246753246753247
2024Q2,5,Jigawa,2223,0.7721518987341772
2024Q2,5,Kaduna,2224,0.6815286624203821
2024Q2,5,Kano,2225,0.7801047120418848
2024Q2,5,Katsina,2226,0.775
2024Q2,5,Kebbi,2227,0.8050314465408805
2024Q2,5,Kogi,2228,0.4810126582278481
2024Q2,5,Kwara,2229,0.47368421052631576
2024Q2,5,Lagos,2230,0.2620320855614973
2024Q2,5,Nassarawa,65705,0.625
2024Q2,5,Niger,2231,0.6078431372549019
2024Q2,5,Ogun,2232,0.40384615384615385
2024Q2,5,Plateau,65707,0.5949367088607594
2024Q2,5,Rivers,65708,0.42483660130718953
