State,LGA,Zone,livelihood_zone,cropland_pct,travel_time_mean_min,travel_time_p90_min
11. Ebonyi,1109. IVO,4. South East,,,,
11. Ebonyi,1110. IZZI,4. South East,,,,
11. Ebonyi,1111. OHAOZARA,4. South East,,,,
11. Ebonyi,1112. OHAUKWU,4. South East,,,,
11. Ebonyi,1113. ONICHA,4. South East,,,,
12. Edo,1201. AKOKO EDO,5. South South,,,,
12. Edo,1202. EGOR,5. South South,,,,
12. Edo,1203. ESAN CENTRAL,5. South South,,,,
12. Edo,1204. ESAN NORTH EAST,5. South South,,,,
12. Edo,1205. ESAN SOUTH EAST,5. South South,,,,
12. Edo,1208. ETSAKO EAST,5. South South,,,,
12. Edo,1211. IKPOOBA OKHA,5. South South,,,,
12. Edo,1212. OREDO,5. South South,,,,
12. Edo,1213. ORHIONMWON,5. South South,,,,
12. Edo,1214. OVIA NORTH EAST,5. South South,,,,
12. Edo,1216. OWAN EAST,5. South South,,,,
12. Edo,1218. UHUNMUONDE,5. South South,,,,
13. Ekiti,1301. ADO EKITI,6. South West,,,,
13. Ekiti,1303. EKITI EAST,6. South West,,,,
13. Ekiti,1309. IJERO,6. South West,,,,
13. Ekiti,1310. IKERE,6. South West,,,,
13. Ekiti,1311. IKOLE,6. South West,,,,
13. Ekiti,1312. ILEJEMEJE,6. South West,,,,
13. Ekiti,1313. IREPODUN/IFELODUN,6. South West,,,,
13. Ekiti,1314. ISE/ORUN,6. South West,,,,
13. Ekiti,1315. MOBA,6. South West,,,,
13. Ekiti,1316. OYE,6. South West,,,,
14. Enugu,1401. ANINIRI,4. South East,,,,
14. Enugu,1402. AWGU,4. South East,,,,
14. Enugu,1403. ENUGU EAST,4. South East,,,,
14. Enugu,1404. ENUGU NORTH,4. South East,,,,
14. Enugu,1405. ENUGU SOUTH,4. South East,,,,
14. Enugu,1406. EZEAGU,4. South East,,,,
14. Enugu,1410. ISI-UZO,4. South East,,,,
14. Enugu,1411. NKANU EAST,4. South East,,,,
14. Enugu,1412. NKANU WEST,4. South East,,,,
14. Enugu,1415. UDENU,4. South East,,,,
14. Enugu,1416. UDI,4. South East,,,,
14. Enugu,1417. UZO-UWANI,4. South East,,,,
15. Gombe,1501. AKKO,2. North East,,,,
15. Gombe,1502. BALANGA,2. North East,,,,
15. Gombe,1503. BILLIRI,2. North East,,,,
15. Gombe,1504. DUKKU,2. North East,,,,
15. Gombe,1505. FUNAKAYE,2. North East,,,,
15. Gombe,1506. GOMBE,2. North East,,,,
15. Gombe,1507. KALTUNGO,2. North East,,,,
15. Gombe,1508. KWAMI,2. North East,,,,
15. Gombe,1510. SHONGOM,2. North East,,,,
15. Gombe,1511. YAMALTU-DEBA,2. North East,,,,
16. Imo,1601. ABOH MBAISE,4. South East,,,,
16. Imo,1602. AHIAZU MBAISE,4. South East,,,,
16. Imo,1603. EHIME MBANO,4. South East,,,,
16. Imo,1604. EZINIHITTE-MBAISE,4. South East,,,,
16. Imo,1606. IDEATO SOUTH,4. South East,,,,
16. Imo,1608. IKEDURU,4. South East,,,,
16. Imo,1609. ISIALA MBANO,4. South East,,,,
16. Imo,1610. ISU,4. South East,,,,
16. Imo,1611. MBAITOLI,4. South East,,,,
16. Imo,1613. NJABA,4. South East,,,,
16. Imo,1622. ORSU,4. South East,,,,
16. Imo,1624. ORU WEST,4. South East,,,,
16. Imo,1625. OWERRI MUNICIPAL,4. South East,,,,
16. Imo,1626. OWERRI NORTH,4. South East,,,,
17. Jigawa,1702. BABURA,3. North West,,,,
17. Jigawa,1703. BIRNIN KUDU,3. North West,,,,
17. Jigawa,1704. BIRNIWA,3. North West,,,,
17. Jigawa,1706. DUTSE,3. North West,,,,
17. Jigawa,1709. GUMEL,3. North West,,,,
17. Jigawa,1710. GURI,3. North West,,,,
17. Jigawa,1712. GWIWA,3. North West,,,,
17. Jigawa,1714. JAHUN,3. North West,,,,
17. Jigawa,1715. KAFIN HAUSA,3. North West,,,,
17. Jigawa,1716. KAUGAMA,3. North West,,,,
17. Jigawa,1719. KIYAWA,3. North West,,,,
17. Jigawa,1720. MAIGATAR,3. North West,,,,
17. Jigawa,1722. MIGA,3. North West,,,,
17. Jigawa,1723. RINGIM,3. North West,,,,
17. Jigawa,1724. RONI,3. North West,,,,
17. Jigawa,1725. SULE TANKAR-KAR,3. North West,,,,
18. Kaduna,1802. CHIKUN,3. North West,,,,
18. Kaduna,1803. GIWA,3. North West,,,,
18. Kaduna,1804. IGABI,3. North West,,,,
18. Kaduna,1806. JABA,3. North West,,,,
18. Kaduna,1807. JEMA'A,3. North West,,,,
18. Kaduna,1808. KACHIA,3. North West,,,,
18. Kaduna,1809. KADUNA NORTH,3. North West,,,,
18. Kaduna,1811. KAGARKO,3. North West,,,,
18. Kaduna,1813. KAURA,3. North West,,,,
18. Kaduna,1814. KAURU,3. North West,,,,
18. Kaduna,1815. KUBAU,3. North West,,,,
18. Kaduna,1816. KUDAN,3. North West,,,,
18. Kaduna,1819. SABON GARI,3. North West,,,,
18. Kaduna,1820. SANGA,3. North West,,,,
18. Kaduna,1822. ZANGON KATAF,3. North West,,,,
18. Kaduna,1823. ZARIA,3. North West,,,,
19. Kano,1901. AJINGI,3. North West,,,,
19. Kano,1904. BEBEJI,3. North West,,,,
19. Kano,1905. BICHI,3. North West,,,,
19. Kano,1907. DALA,3. North West,,,,
19. Kano,1908. DANBATTA,3. North West,,,,
19. Kano,1912. FAGGE,3. North West,,,,
19. Kano,1917. GEZAWA,3. North West,,,,
19. Kano,1918. GWALE,3. North West,,,,
19. Kano,1920. KABIYA,3. North West,,,,
19. Kano,1921. KABO,3. North West,,,,
19. Kano,1922. KANO MUNICIPAL,3. North West,,,,
19. Kano,1924. KIRU,3. North West,,,,
19. Kano,1925. KUMBOTSO,3. North West,,,,
19. Kano,1936. SUMAILA,3. North West,,,,
19. Kano,1939. TOFA,3. North West,,,,
19. Kano,1942. UNGOGO,3. North West,,,,
19. Kano,1944. WUDIL,3. North West,,,,
2. Adamawa,201. DEMSA,2. North East,,,,
2. Adamawa,202. FUFORE/GURIN,2. North East,,,,
2. Adamawa,203. GANYE,2. North East,,,,
2. Adamawa,204. GIREI,2. North East,,,,
2. Adamawa,205. GOMBI,2. North East,,,,
2. Adamawa,206. GUYUK,2. North East,,,,
2. Adamawa,207. HONG,2. North East,,,,
2. Adamawa,208. JADA,2. North East,,,,
2. Adamawa,209. LAMURDE,2. North East,,,,
2. Adamawa,210. MADAGALI,2. North East,,,,
2. Adamawa,211. MAIHA,2. North East,,,,
2. Adamawa,212. MAYO-BELWA,2. North East,,,,
2. Adamawa,213. MICHIKA,2. North East,,,,
2. Adamawa,215. MUBI SOUTH,2. North East,,,,
2. Adamawa,218. SONG,2. North East,,,,
2. Adamawa,219. TOUNGO,2. North East,,,,
2. Adamawa,221. YOLA SOUTH,2. North East,,,,
20. Katsina,2001. BAKORI,3. North West,,,,
20. Katsina,2003. BATSARI,3. North West,,,,
20. Katsina,2006. CHARANCHI,3. North West,,,,
20. Katsina,2011. DUTSI,3. North West,,,,
20. Katsina,2012. DUTSIN-MA,3. North West,,,,
20. Katsina,2013. FASKARI,3. North West,,,,
20. Katsina,2014. FUNTUA,3. North West,,,,
20. Katsina,2015. INGAWA,3. North West,,,,
20. Katsina,2016. JIBIA,3. North West,,,,
20. Katsina,2018. KAITA,3. North West,,,,
20. Katsina,2021. KATSINA,3. North West,,,,
20. Katsina,2026. MANI,3. North West,,,,
20. Katsina,2027. MASHI,3. North West,,,,
20. Katsina,2029. MUSAWA,3. North West,,,,
20. Katsina,2030. RIMI,3. North West,,,,
20. Katsina,2031. SABUWA,3. North West,,,,
20. Katsina,2032. SAFANA,3. North West,,,,
20. Katsina,2033. SANDAMU,3. North West,,,,
20. Katsina,2034. ZANGO,3. North West,,,,
21. Kebbi,2102. AREWA,3. North West,,,,
21. Kebbi,2104. AUGIE,3. North West,,,,
21. Kebbi,2106. BIRNIN KEBBI,3. North West,,,,
21. Kebbi,2108. DANDI,3. North West,,,,
21. Kebbi,2109. DANKO-WASAGU,3. North West,,,,
21. Kebbi,2111. GWANDU,3. North West,,,,
21. Kebbi,2113. KALGO,3. North West,,,,
21. Kebbi,2116. NGASKI,3. North West,,,,
21. Kebbi,2117. SAKABA,3. North West,,,,
21. Kebbi,2118. SHANGA,3. North West,,,,
21. Kebbi,2119. SURU,3. North West,,,,
21. Kebbi,2120. YAURI,3. North West,,,,
21. Kebbi,2121. ZURU,3. North West,,,,
22. Kogi,2201. ADAVI,1. North Central,,,,
22. Kogi,2202. AJAOKUTA,1. North Central,,,,
22. Kogi,2203. ANKPA,1. North Central,,,,
